id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#18-19,gpt,,"The requested outcome is IgA level (Immunoglobulin A). The article reports immune function outcomes only as T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, and does not report IgA levels. No immunoglobulin A outcome, post-intervention mean, SD, or arm-specific n for IgA is available. Therefore the requested outcome cannot be extracted.",,,,,,,7.07,0,3720,513,4233
#18-19,deepseek,,"The article reports immune function outcomes including T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+ ratio) but does not report IgA, IgM, IgG, or any other immunoglobulin levels. Therefore, no IgA outcome data are available.",,,,,,,11.37,0,3449,742,4191
#18-19,final_consensus,,"The requested outcome is IgA level (Immunoglobulin A). The article reports immune function outcomes only as T-cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, and does not report IgA levels. No immunoglobulin A outcome, post-intervention mean, SD, or arm-specific n for IgA is available. Therefore the requested outcome cannot be extracted.",,,,,,,18.439999999999998,0,7169,1255,8424
#18-20,gpt,,"The article reports immune-function outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. Although sample sizes are 31 per group, no matched IgA mean or SD values are available. Therefore, the requested IgA outcome cannot be extracted.",,,,,,,7.63,0,3745,569,4314
#18-20,deepseek,,"The article reports immune function markers (CD3+, CD4+, CD8+, CD4+/CD8+) but does not mention IgA (Immunoglobulin A) or any immunoglobulin levels. No outcome matching IgA level after intervention is provided. Therefore, no data can be extracted.",,,,,,,6.81,0,3421,368,3789
#18-20,final_consensus,,"The article reports immune-function outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+ before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. Although sample sizes are 31 per group, no matched IgA mean or SD values are available. Therefore, the requested IgA outcome cannot be extracted.",,,,,,,14.44,0,7166,937,8103
#18-21,gpt,,"The article reports immune-related outcomes as T-cell subsets (CD3+, CD4+, CD8+, and CD4+/CD8+) before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. Although immune markers are present, they are not immunoglobulin outcomes and do not strictly match IgA. Therefore, no IgA mean, SD, or sample size can be extracted.",,,,,,,4.91,0,2538,300,2838
#18-21,deepseek,,"The article reports outcomes of T cell subsets (CD3+, CD4+, CD8+, CD4+/CD8+) and pain relief, but does not report IgA level or any immunoglobulin (IgA, IgM, IgG, IgE) data. Therefore, no IgA outcome is available for extraction.",,,,,,,13.89,0,2290,902,3192
#18-21,final_consensus,,"The article reports immune-related outcomes as T-cell subsets (CD3+, CD4+, CD8+, and CD4+/CD8+) before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention. Although immune markers are present, they are not immunoglobulin outcomes and do not strictly match IgA. Therefore, no IgA mean, SD, or sample size can be extracted.",,,,,,,18.8,0,4828,1202,6030
#18-22,gpt,,"The article reports immune function outcomes as T-cell subsets (CD3+, CD4+, CD8+) before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention, nor does it provide IgA means or SDs. Although the overall sample sizes are treatment n=32 and control n=30, these are not tied to an IgA outcome. Therefore, the requested IgA outcome is not extractable.",,,,,,,9.76,0,3448,671,4119
#18-22,deepseek,,"The study reported only T cell subsets (CD3+, CD4+, CD8+) and no immunoglobulin levels. Therefore, IgA level is not reported. No matching outcome.",,,,,,,10.44,0,3171,712,3883
#18-22,final_consensus,,"The article reports immune function outcomes as T-cell subsets (CD3+, CD4+, CD8+) before and after treatment. It does not report IgA (Immunoglobulin A) levels after intervention, nor does it provide IgA means or SDs. Although the overall sample sizes are treatment n=32 and control n=30, these are not tied to an IgA outcome. Therefore, the requested IgA outcome is not extractable.",,,,,,,20.2,0,6619,1383,8002
#18-23,gpt,IgA level,"The article reports immunoglobulin outcomes IgG, IgA, and IgM in Table 2, and IgA strictly matches the requested outcome. The randomized treatment group received Kanglaite injection plus chemotherapy, and the control group received chemotherapy alone. For the matched IgA outcome after intervention (化疗后), both groups had n=34. The post-intervention IgA mean ± SD was 1.57 ± 0.06 for the treatment group and 1.54 ± 0.03 for the control group. Units are reported as mg/L in the table.",1.57,0.06,34,1.54,0.03,34,6.14,0,4155,364,4519
#18-23,deepseek,IgA,,1.57,0.06,34,1.54,0.03,34,9.48,0,3732,521,4253
#18-23,final_consensus,IgA level,"The article reports immunoglobulin outcomes IgG, IgA, and IgM in Table 2, and IgA strictly matches the requested outcome. The randomized treatment group received Kanglaite injection plus chemotherapy, and the control group received chemotherapy alone. For the matched IgA outcome after intervention (化疗后), both groups had n=34. The post-intervention IgA mean ± SD was 1.57 ± 0.06 for the treatment group and 1.54 ± 0.03 for the control group. Units are reported as mg/L in the table.",1.57,0.06,34,1.54,0.03,34,15.620000000000001,0,7887,885,8772
#18-24,gpt,IgA level (Immunoglobulin A),"The article reports peripheral blood immunoglobulin outcomes including IgA, IgG, and IgM, and IgA strictly matches the requested outcome. Table 2 provides post-treatment IgA values after 2 treatment cycles. The intervention arm is the study group receiving Kanglaite Injection plus chemotherapy, with n=32. The control arm received chemotherapy alone, with n=32. Post-treatment IgA was 1.56±0.05 mg/L in the intervention group and 1.53±0.04 mg/L in the control group.",1.56,0.05,32,1.53,0.04,32,5.61,0,2808,365,3173
#18-24,deepseek,IgA,,1.56,0.05,32,1.53,0.04,32,7.16,0,2572,408,2980
#18-24,final_consensus,IgA level (Immunoglobulin A),"The article reports peripheral blood immunoglobulin outcomes including IgA, IgG, and IgM, and IgA strictly matches the requested outcome. Table 2 provides post-treatment IgA values after 2 treatment cycles. The intervention arm is the study group receiving Kanglaite Injection plus chemotherapy, with n=32. The control arm received chemotherapy alone, with n=32. Post-treatment IgA was 1.56±0.05 mg/L in the intervention group and 1.53±0.04 mg/L in the control group.",1.56,0.05,32,1.53,0.04,32,12.77,0,5380,773,6153
#18-25,gpt,,"The article reports immune function outcomes including NK cells, CD4/CD8, CD4, and CD3 before and after treatment. No IgA (Immunoglobulin A) level is reported, and no immunoglobulin outcomes matching IgA are present. Although total arm sizes are 50 in the treatment group and 50 in the control group, there is no matched IgA outcome to extract. Therefore, mean and SD values after intervention for IgA are unavailable.",,,,,,,6.62,0,1700,420,2120
#18-25,deepseek,,"The article reports immune function outcomes including NK cell activity and T lymphocyte subsets (CD4/CD8, CD4, CD3). No immunoglobulin levels such as IgA, IgM, IgG, or IgE are mentioned. Therefore, the requested outcome IgA is not available.",,,,,,,5.14,0,1587,230,1817
#18-25,final_consensus,,"The article reports immune function outcomes including NK cells, CD4/CD8, CD4, and CD3 before and after treatment. No IgA (Immunoglobulin A) level is reported, and no immunoglobulin outcomes matching IgA are present. Although total arm sizes are 50 in the treatment group and 50 in the control group, there is no matched IgA outcome to extract. Therefore, mean and SD values after intervention for IgA are unavailable.",,,,,,,11.76,0,3287,650,3937
#18-26,gpt,,"The article reports immune function outcomes including T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) after treatment. It does not report IgA (Immunoglobulin A) levels at baseline or after intervention. No immunoglobulin outcomes matching IgA are available, so no means, SDs, or sample sizes can be extracted for the requested outcome.",,,,,,,6.53,0,2724,390,3114
#18-26,deepseek,,"The article reports immune function outcomes measured as T lymphocyte subsets (CD3+, CD4+, CD8+) and adverse events. It does not report IgA (Immunoglobulin A) levels, nor any other immunoglobulin (IgG, IgM, IgE) levels. No outcome matches the requested IgA definition.",,,,,,,3.99,0,2471,166,2637
#18-26,final_consensus,,"The article reports immune function outcomes including T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) after treatment. It does not report IgA (Immunoglobulin A) levels at baseline or after intervention. No immunoglobulin outcomes matching IgA are available, so no means, SDs, or sample sizes can be extracted for the requested outcome.",,,,,,,10.52,0,5195,556,5751
#18-8,gpt,,"The article reports immune function outcomes only as T-lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, not immunoglobulin A (IgA). No IgA level after intervention is reported for either arm, so means and SDs cannot be extracted. Although total randomized sample sizes are 34 per group, these are not sample sizes for an IgA outcome. Therefore the requested IgA outcome is unavailable.",,,,,,,7.2,0,3456,647,4103
#18-8,deepseek,,"The article reports only T lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) as immune markers. No immunoglobulin levels (IgA, IgM, IgG, IgE, or total immunoglobulin) are mentioned anywhere in the text or tables. Therefore, the requested outcome of IgA level is not available.",,,,,,,10.31,0,3171,541,3712
#18-8,final_consensus,,"The article reports immune function outcomes only as T-lymphocyte subsets (CD3+, CD4+, CD8+, CD4+/CD8+) before and after treatment, not immunoglobulin A (IgA). No IgA level after intervention is reported for either arm, so means and SDs cannot be extracted. Although total randomized sample sizes are 34 per group, these are not sample sizes for an IgA outcome. Therefore the requested IgA outcome is unavailable.",,,,,,,17.51,0,6627,1188,7815
#18-9,gpt,IgA level (Immunoglobulin A),"The article reports immunoglobulin outcomes including IgA, IgM, and IgG in Table 3, so IgA strictly matches the requested outcome. The matched post-intervention values are listed under treatment after (治疗后) for the study/intervention group and control group. Both groups had 55 participants for this outcome. The intervention group post-treatment IgA was 1.30 ± 0.21, and the control group post-treatment IgA was 0.80 ± 0.21.",1.30,0.21,55,0.80,0.21,55,9.04,0,2836,682,3518
#18-9,deepseek,IgA,"The article reports immunoglobulin levels including IgA in Table 3. Post-treatment IgA levels are provided: research group (intervention) mean ± SD = 1.30 ± 0.21 g/L, n = 55; control group mean ± SD = 0.80 ± 0.21 g/L, n = 55. This matches the requested IgA outcome.",1.30,0.21,55,0.80,0.21,55,11.22,0,2602,586,3188
#18-9,final_consensus,IgA level (Immunoglobulin A),"The article reports immunoglobulin outcomes including IgA, IgM, and IgG in Table 3, so IgA strictly matches the requested outcome. The matched post-intervention values are listed under treatment after (治疗后) for the study/intervention group and control group. Both groups had 55 participants for this outcome. The intervention group post-treatment IgA was 1.30 ± 0.21, and the control group post-treatment IgA was 0.80 ± 0.21.",1.30,0.21,55,0.80,0.21,55,20.259999999999998,0,5438,1268,6706
