id,model,outcome,cot,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,time,human_time,input_tokens,output_tokens,total_tokens
#13-13,deepseek,CD4+ level,,39.68,8.04,30,30.54,10.21,30,6.32,0,2914,296,3210
#13-13,final_consensus,CD4+ level,"The article reports immune indicators including CD3+, CD4+, CD8+, CD4+/CD8+, and NK; CD4+ strictly matches the requested CD4+ level outcome. Table 4 presents immune indicators as mean ± SD with n=30 for each group. The post-intervention CD4+ value for the treatment/intervention group is 39.68 ± 8.04. The post-intervention CD4+ value for the control group is 30.54 ± 10.21. Therefore, the matched outcome data after intervention can be extracted from Table 4.",39.68,8.04,30,30.54,10.21,30,12.39,0,6130,607,6737
#13-14,gpt,,"The article reports outcomes including short-term response rate, Karnofsky quality-of-life improvement, 1-year survival, median/average survival time, and toxicities such as nausea/vomiting and white blood cell decrease. No CD4+ level outcome is reported before or after intervention. White blood cell decrease is an immune/hematologic marker but does not strictly match CD4+ level. Therefore, no matched CD4+ outcome data, means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,9.83,0,3537,529,4066
#13-14,deepseek,,"The article reports outcomes for advanced non-small cell lung cancer patients treated with Kanglaite Injection plus chemotherapy. Reported measures include short-term efficacy, Karnofsky score, survival, and toxicity. No CD4+ level or any immunological marker is mentioned. Therefore, no data can be extracted for the defined outcome.",,,,,,,6.25,0,3279,271,3550
#13-14,final_consensus,,"The article reports outcomes including short-term response rate, Karnofsky quality-of-life improvement, 1-year survival, median/average survival time, and toxicities such as nausea/vomiting and white blood cell decrease. No CD4+ level outcome is reported before or after intervention. White blood cell decrease is an immune/hematologic marker but does not strictly match CD4+ level. Therefore, no matched CD4+ outcome data, means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,16.08,0,6816,800,7616
#13-15,gpt,CD4+ level (%) after intervention,"The article reports T lymphocyte subsets including CD3+, CD4+, CD8+, and CD4+/CD8+, and CD4+ level strictly matches the requested outcome. The matched outcome is reported in Table 3 as CD4+(%) after treatment. The randomized groups were control group n=45 and observation/intervention group n=45. After treatment, the observation group CD4+ value was 32.74±1.85, and the control group CD4+ value was 30.89±1.62.",32.74,1.85,45,30.89,1.62,45,6.45,0,4060,346,4406
#13-15,deepseek,CD4+ level (%),"The article reports CD4+ level as a percentage of T lymphocyte subsets. In Table 3, after treatment, the control group (NP chemotherapy alone) had a mean CD4+ of 30.89 with SD 1.62 (n=45). The intervention group (Kanglaite injection + NP chemotherapy) had a mean CD4+ of 32.74 with SD 1.85 (n=45). This exactly matches the requested CD4+ outcome.",32.74,1.85,45,30.89,1.62,45,12.26,0,3762,685,4447
#13-15,final_consensus,CD4+ level (%) after intervention,"The article reports T lymphocyte subsets including CD3+, CD4+, CD8+, and CD4+/CD8+, and CD4+ level strictly matches the requested outcome. The matched outcome is reported in Table 3 as CD4+(%) after treatment. The randomized groups were control group n=45 and observation/intervention group n=45. After treatment, the observation group CD4+ value was 32.74±1.85, and the control group CD4+ value was 30.89±1.62.",32.74,1.85,45,30.89,1.62,45,18.71,0,7822,1031,8853
#13-16,gpt,,"The article reports outcomes including tumor response, Karnofsky score, body weight, adverse reactions, WBC/PLT/Hb changes, gastrointestinal reactions, and liver/kidney function. No CD4+ level outcome is reported after intervention. Although some immune- or blood-related markers are mentioned, they do not strictly match CD4+ level. Therefore, no eligible CD4+ mean, SD, or sample size can be extracted.",,,,,,,5.8,0,1473,241,1714
#13-16,deepseek,,"The article reports on non-small cell lung cancer treatment with Kanglaite injection plus chemotherapy. Outcomes measured are tumor response, Karnofsky performance status, weight change, and toxicity (hematologic, gastrointestinal, liver, kidney function). There is no mention of CD4+ T-cell counts or any immune cell subset levels. Therefore, no outcome matches the requested CD4+ level definition.",,,,,,,5.59,0,1329,198,1527
#13-16,final_consensus,,"The article reports outcomes including tumor response, Karnofsky score, body weight, adverse reactions, WBC/PLT/Hb changes, gastrointestinal reactions, and liver/kidney function. No CD4+ level outcome is reported after intervention. Although some immune- or blood-related markers are mentioned, they do not strictly match CD4+ level. Therefore, no eligible CD4+ mean, SD, or sample size can be extracted.",,,,,,,11.39,0,2802,439,3241
#13-17,gpt,,"The requested outcome is CD4+ level after intervention. The article reports tumor remission, SF-36 quality-of-life scores, and adverse reactions, but does not report CD4+ level. No CD4+ outcome data are available for either the Kanglaite plus chemotherapy group or the chemotherapy-only group. Therefore sample sizes, post-intervention means, and SDs for CD4+ level cannot be extracted.",,,,,,,8.91,0,3211,542,3753
#13-17,deepseek,,"The article reports outcomes such as tumor remission rate, quality of life scores (SF-36: physical function and mental health), and adverse events. There is no mention of CD4+ level or any immunological markers. The outcome CD4+ level is not reported.",,,,,,,5.22,0,2927,193,3120
#13-17,final_consensus,,"The requested outcome is CD4+ level after intervention. The article reports tumor remission, SF-36 quality-of-life scores, and adverse reactions, but does not report CD4+ level. No CD4+ outcome data are available for either the Kanglaite plus chemotherapy group or the chemotherapy-only group. Therefore sample sizes, post-intervention means, and SDs for CD4+ level cannot be extracted.",,,,,,,14.129999999999999,0,6138,735,6873
#13-18,gpt,,"The article reports tumor response, KPS quality-of-life scores, and adverse reactions after treatment. I checked for CD4+ level or immune-cell subset outcomes and found none reported. The only continuous post-intervention outcome with mean and SD is KPS, which does not match the requested CD4+ level definition. Therefore, no CD4+ post-intervention sample sizes, means, or SDs are available.",,,,,,,11.75,0,3014,663,3677
#13-18,deepseek,,"The article reports outcomes of total effective rate, KPS scores, and adverse events for non-small cell lung cancer patients. No CD4+ level or any other immune cell count is measured or reported. There are no immunoglobulin-related indicators either. Thus, no data matching the CD4+ level outcome definition is extractable.",,,,,,,13.14,0,2729,625,3354
#13-18,final_consensus,,"The article reports tumor response, KPS quality-of-life scores, and adverse reactions after treatment. I checked for CD4+ level or immune-cell subset outcomes and found none reported. The only continuous post-intervention outcome with mean and SD is KPS, which does not match the requested CD4+ level definition. Therefore, no CD4+ post-intervention sample sizes, means, or SDs are available.",,,,,,,24.89,0,5743,1288,7031
#13-19,gpt,,"The requested outcome is CD4+ level after intervention. The article reports clinical efficacy, serum CEA and SCC levels, and toxic side effects including thrombocytopenia, neutropenia, and anemia, but does not report CD4+ levels or any CD4-related immune outcome. Therefore, there is no strictly matching CD4+ level outcome to extract. Although each arm had 30 participants overall, no sample size, mean, or SD is available for CD4+ level.",,,,,,,6.55,0,3165,305,3470
#13-19,deepseek,,"The article reports outcomes of CEA and SCC levels and adverse events (thrombocytopenia, neutropenia, anemia) in non-small cell lung cancer patients. No CD4+ level outcome is reported. The requested outcome CD4+ level is absent.",,,,,,,5.51,0,2870,174,3044
#13-19,final_consensus,,"The requested outcome is CD4+ level after intervention. The article reports clinical efficacy, serum CEA and SCC levels, and toxic side effects including thrombocytopenia, neutropenia, and anemia, but does not report CD4+ levels or any CD4-related immune outcome. Therefore, there is no strictly matching CD4+ level outcome to extract. Although each arm had 30 participants overall, no sample size, mean, or SD is available for CD4+ level.",,,,,,,12.059999999999999,0,6035,479,6514
#13-20,gpt,,"I checked the reported outcomes across the provided text for CD4+ level. The articles report clinical efficacy, KPS score, adverse reactions, blood pressure, and inflammatory markers such as hs-CRP, IL-1, and TNF-α, but no CD4+ level outcome is reported. Although immune function is mentioned generally in the discussion, no CD4+ post-intervention mean, SD, or sample-size-specific data are provided. Therefore, there is no strictly matching CD4+ level outcome to extract.",,,,,,,5.86,0,5339,277,5616
#13-20,deepseek,,"The article reports on Kanglaite combined with chemotherapy for non-small cell lung cancer, measuring outcomes like clinical efficacy, KPS scores, and adverse reactions. No CD4+ level data is mentioned. Therefore, no outcome matches the requested definition.",,,,,,,11.4,0,4563,412,4975
#13-20,final_consensus,,"I checked the reported outcomes across the provided text for CD4+ level. The articles report clinical efficacy, KPS score, adverse reactions, blood pressure, and inflammatory markers such as hs-CRP, IL-1, and TNF-α, but no CD4+ level outcome is reported. Although immune function is mentioned generally in the discussion, no CD4+ post-intervention mean, SD, or sample-size-specific data are provided. Therefore, there is no strictly matching CD4+ level outcome to extract.",,,,,,,17.26,0,9902,689,10591
#13-21,gpt,,"The requested outcome is CD4+ level after intervention. The article reports tumor response, KPS quality-of-life changes, pain remission, leukocyte decrease, gastrointestinal reactions, and other toxicities, but it does not report CD4+ levels. Therefore, no strictly matching CD4+ outcome is available. Because the matched outcome is absent, no post-intervention sample sizes, means, or SDs can be extracted.",,,,,,,12.66,0,3220,646,3866
#13-21,deepseek,,"The article reports on a clinical trial of Kanglaite injection combined with NP regimen for advanced non-small cell lung cancer. Outcomes measured include response rates, KPS scores, pain remission rates, and adverse events such as leukocyte decrease. There is no mention of CD4+ level or any immune cell subset counts. Therefore, the requested CD4+ level outcome is not available.",,,,,,,6.04,0,2864,219,3083
#13-21,final_consensus,,"The requested outcome is CD4+ level after intervention. The article reports tumor response, KPS quality-of-life changes, pain remission, leukocyte decrease, gastrointestinal reactions, and other toxicities, but it does not report CD4+ levels. Therefore, no strictly matching CD4+ outcome is available. Because the matched outcome is absent, no post-intervention sample sizes, means, or SDs can be extracted.",,,,,,,18.7,0,6084,865,6949
#13-22,gpt,,"The article reports outcomes including tumor response, toxicities (leukocyte decrease, anemia, platelet decrease, transaminase abnormality, urea nitrogen abnormality, phlebitis, vomiting), quality of life by KPS, and weight change. No CD4+ level outcome is reported after intervention. Although the randomized groups were 64 in the Kanglaite+NP arm and 63 in the NP-only control arm, these are not sample sizes for a CD4+ outcome. No post-intervention CD4+ means or SDs are available, so the requested outcome cannot be extracted.",,,,,,,12.38,0,6185,683,6868
#13-22,deepseek,,"The article evaluates the efficacy of Kanglaite injection combined with NP chemotherapy for non-small cell lung cancer. Reported outcomes include tumor response, toxicity (leukocyte, anemia, etc.), quality of life, and weight change. There is no mention of CD4+ level, immunoglobulin, or any related immune cell counts. Therefore, the requested outcome is not available.",,,,,,,6.15,0,5859,239,6098
#13-22,final_consensus,,"The article reports outcomes including tumor response, toxicities (leukocyte decrease, anemia, platelet decrease, transaminase abnormality, urea nitrogen abnormality, phlebitis, vomiting), quality of life by KPS, and weight change. No CD4+ level outcome is reported after intervention. Although the randomized groups were 64 in the Kanglaite+NP arm and 63 in the NP-only control arm, these are not sample sizes for a CD4+ outcome. No post-intervention CD4+ means or SDs are available, so the requested outcome cannot be extracted.",,,,,,,18.53,0,12044,922,12966
#13-23,gpt,,"The requested outcome is CD4+ level after intervention. The article reports short-term chemotherapy efficacy, KPS-based quality of life improvement, and adverse reactions such as nausea/vomiting, constipation, leukopenia, hemoglobin decrease, platelet decrease, and liver function damage. No CD4+ level or other T-cell subset outcome is reported. Therefore, no matching outcome data, means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,5.33,0,2806,248,3054
#13-23,deepseek,,"The article is about Kanglaite injection combined with chemotherapy for non-small cell lung cancer. Outcomes reported include tumor response, quality of life, and adverse events. No CD4+ level or any T-cell subset count is mentioned. Therefore, the outcome 'CD4+ level' is not available.",,,,,,,6.76,0,2577,237,2814
#13-23,final_consensus,,"The requested outcome is CD4+ level after intervention. The article reports short-term chemotherapy efficacy, KPS-based quality of life improvement, and adverse reactions such as nausea/vomiting, constipation, leukopenia, hemoglobin decrease, platelet decrease, and liver function damage. No CD4+ level or other T-cell subset outcome is reported. Therefore, no matching outcome data, means, SDs, or outcome-specific sample sizes can be extracted.",,,,,,,12.09,0,5383,485,5868
#13-24,gpt,CD4+(%),"The article reports immune function outcomes including immunoglobulins, NK cells, CD3+, CD4+, CD4+/CD8+, and WBC; CD4+(%) strictly matches the requested CD4+ level outcome. Table 4 provides post-intervention immune function indicators for both groups. The intervention arm is the observation group receiving Kanglaite injection plus NP chemotherapy (n=53), and the control arm received NP chemotherapy alone (n=47). For CD4+(%), the observation group mean ± SD is 42.4 ± 2.5, and the control group mean ± SD is 36.2 ± 1.9.",42.4,2.5,53,36.2,1.9,47,7.77,0,5137,445,5582
#13-24,deepseek,CD4+ level,"The article reports CD4+ level as a percentage of T lymphocyte subsets. This matches the requested outcome. The control group (NP chemotherapy alone) has n=47, mean CD4+ = 36.2%, SD=1.9. The intervention group (Kanglaite injection + NP chemotherapy) has n=53, mean CD4+ = 42.4%, SD=2.5. No other CD4+ outcomes are reported, so these values are extracted directly.",42.4,2.5,53,36.2,1.9,47,17.31,0,4599,1034,5633
#13-24,final_consensus,CD4+(%),"The article reports immune function outcomes including immunoglobulins, NK cells, CD3+, CD4+, CD4+/CD8+, and WBC; CD4+(%) strictly matches the requested CD4+ level outcome. Table 4 provides post-intervention immune function indicators for both groups. The intervention arm is the observation group receiving Kanglaite injection plus NP chemotherapy (n=53), and the control arm received NP chemotherapy alone (n=47). For CD4+(%), the observation group mean ± SD is 42.4 ± 2.5, and the control group mean ± SD is 36.2 ± 1.9.",42.4,2.5,53,36.2,1.9,47,25.08,0,9736,1479,11215
#13-25,gpt,,"The article reports outcomes including pain control, Karnofsky quality-of-life score, and body weight change after treatment. I checked for CD4+ level or any post-intervention CD4+ immune cell outcome, but none is reported. Sample sizes are available for evaluable participants overall and for the reported outcomes, but they do not correspond to CD4+ level. No post-intervention means or SDs for CD4+ level are provided. Therefore, the requested outcome is not extractable.",,,,,,,7.27,0,2606,380,2986
#13-25,deepseek,,文章研究了康莱特对局部晚期非小细胞肺癌患者生活质量的影响，报告的结局指标包括疼痛控制、体重变化和Karnofsky评分，未涉及CD4+水平或任何免疫球蛋白相关指标。因此，无法提取CD4+水平数据。,,,,,,,14.33,0,2319,756,3075
#13-25,final_consensus,,"The article reports outcomes including pain control, Karnofsky quality-of-life score, and body weight change after treatment. I checked for CD4+ level or any post-intervention CD4+ immune cell outcome, but none is reported. Sample sizes are available for evaluable participants overall and for the reported outcomes, but they do not correspond to CD4+ level. No post-intervention means or SDs for CD4+ level are provided. Therefore, the requested outcome is not extractable.",,,,,,,21.6,0,4925,1136,6061
#13-7,gpt,CD4+ level,"The article reports T lymphocyte subtype outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+, and CD4+ level strictly matches the requested outcome. Table 3 provides values as mean ± SD (%) with n=34 for each group. The post-intervention CD4+ level for the treatment/intervention group is 35.40 ± 4.90. The post-intervention CD4+ level for the control group is 30.51 ± 6.24. Therefore the matched post-intervention CD4+ outcome data are extracted from Table 3.",35.40,4.90,34,30.51,6.24,34,5.95,0,3450,303,3753
#13-7,deepseek,CD4+ level,"The article reports CD4+ level as a T lymphocyte subset in Table 3. The intervention (Kanglaite plus chemotherapy) group after treatment has mean CD4+ 35.40% with SD 4.90, n=34. The control (chemotherapy alone) group after treatment has mean CD4+ 30.51% with SD 6.24, n=34. This matches the CD4+ level outcome definition.",35.40,4.90,34,30.51,6.24,34,19.35,0,3174,1166,4340
#13-7,final_consensus,CD4+ level,"The article reports T lymphocyte subtype outcomes including CD3+, CD4+, CD8+, and CD4+/CD8+, and CD4+ level strictly matches the requested outcome. Table 3 provides values as mean ± SD (%) with n=34 for each group. The post-intervention CD4+ level for the treatment/intervention group is 35.40 ± 4.90. The post-intervention CD4+ level for the control group is 30.51 ± 6.24. Therefore the matched post-intervention CD4+ outcome data are extracted from Table 3.",35.40,4.90,34,30.51,6.24,34,25.3,0,6624,1469,8093
#13-8,gpt,,"The requested outcome is CD4+ level after intervention. The article reports tumor response, adverse reactions such as leukocyte decrease, platelet reduction, renal/hepatic function injury, nausea/vomiting, and quality-of-life indicators (KPS and body weight), but it does not report CD4+ levels. No post-intervention CD4+ means or SDs are available for either arm. Although total randomized sample sizes were 30 in the Kanglaite plus NP group and 32 in the NP-only control group, these are not sample sizes for a CD4+ outcome. Therefore, the CD4+ outcome cannot be extracted.",,,,,,,13.34,0,2879,690,3569
#13-8,deepseek,,"The article evaluates Kanglaite injection combined with chemotherapy for advanced NSCLC, reporting on efficacy, adverse events, KPS score, and body weight. There is no mention of CD4+ level or any immunological outcome. Therefore, the requested outcome is not available.",,,,,,,12.87,0,2576,601,3177
#13-8,final_consensus,,"The requested outcome is CD4+ level after intervention. The article reports tumor response, adverse reactions such as leukocyte decrease, platelet reduction, renal/hepatic function injury, nausea/vomiting, and quality-of-life indicators (KPS and body weight), but it does not report CD4+ levels. No post-intervention CD4+ means or SDs are available for either arm. Although total randomized sample sizes were 30 in the Kanglaite plus NP group and 32 in the NP-only control group, these are not sample sizes for a CD4+ outcome. Therefore, the CD4+ outcome cannot be extracted.",,,,,,,26.21,0,5455,1291,6746
#13-9,gpt,,"The article reports outcomes including tumor response, toxicities, and Karnofsky performance score, but it does not report CD4+ level after intervention. It mentions hematologic toxicities such as leukocyte, hemoglobin, and platelet reductions, which are not CD4+ levels. Therefore, no outcome strictly matching the requested CD4+ level definition is available. Sample sizes are stated as 25 in the treatment group and 20 in the control group overall, but no CD4+ outcome-specific data are reported. No post-intervention CD4+ means or SDs are provided.",,,,,,,7.07,0,2438,283,2721
#13-9,deepseek,,"The article focuses on Kanglaite combined with NP chemotherapy for advanced non-small cell lung cancer, reporting outcomes such as response rate (CR, PR, SD, PD), toxicity, and Karnofsky performance status. There is no mention of CD4+ level or any immunological markers like IgA, IgG, IgE. Therefore, the requested CD4+ level outcome is not reported.",,,,,,,5.43,0,2341,205,2546
#13-9,final_consensus,,"The article reports outcomes including tumor response, toxicities, and Karnofsky performance score, but it does not report CD4+ level after intervention. It mentions hematologic toxicities such as leukocyte, hemoglobin, and platelet reductions, which are not CD4+ levels. Therefore, no outcome strictly matching the requested CD4+ level definition is available. Sample sizes are stated as 25 in the treatment group and 20 in the control group overall, but no CD4+ outcome-specific data are reported. No post-intervention CD4+ means or SDs are provided.",,,,,,,12.5,0,4779,488,5267
